title,date,summary,link
Trump discloses 327 unreported stock trades made a day before his first tariff pause - NBC News,2026-07-02,Trump discloses 327 unreported stock trades made a day before his first tariff pause&nbsp;&nbsp;NBC News,https://news.google.com/rss/articles/CBMilAFBVV95cUxPZzF5ZG9UcUY1cFpWYWpMT3dzU1pQUkhhWUNuM0RTd2kxcjcwR0dDazlXM1lWSklwaXdxZWMyRFRkbnNmQ2VLTV9UUkV0QVRuYzUyN2RFdzNaTllWdVREOGR3bWNMQ0RFeDVCX1JpaHliLUdPNnFYbW5YSHFybV9RVWw0TEl2ZVoyYUpkSmpkSVRsYWY4?oc=5
Trump threatens tariffs on 60 trading partners including UK and Canada over ‘forced labour’ - The Guardian,2026-06-03,Trump threatens tariffs on 60 trading partners including UK and Canada over ‘forced labour’&nbsp;&nbsp;The Guardian,https://news.google.com/rss/articles/CBMioAFBVV95cUxQYjRrRTdrMG85bWE0cHRmeWltMlczMF9ybWE2Q0E1NjlhYjBrQm5USHFOZm5IU0ZrSW52amw3REJ1V1NQci1nNmNNNl84eVk5emx2eHlPSHZGVjc1ZGRfZENTWGJaTXZCZC1YTGMwYndwaHNUWHFnU01RR1Z3NWtSSUtfOThSeEJia1J2R2w1Q3lNSXVGQlpiZnNjZ3R6LXgz?oc=5
"Trump administration proposes 10 percent tariff on Canada, Mexico and the EU over forced labor - Politico",2026-06-02,"Trump administration proposes 10 percent tariff on Canada, Mexico and the EU over forced labor&nbsp;&nbsp;Politico",https://news.google.com/rss/articles/CBMizgFBVV95cUxNb1FTZEdYcXhwU2tlQWg4OUZSRVRMOFRkYnl3dU54ZlJnV2daSEpEaWRLS1J5dTFEX1JTeGxwV01BcGcxVERjOHlpcElDVVBzTHJ5bU1ZeHhkdEw5RmF1QjljNG9waWRmTGVWTDNEVmVyM0Z3YUY5N0dIX3dqSEREUmhOeUZCMDdWTDczNVA2T2xld3VtMkFET2hJN2xJRmF4eEt4UkZkb3Mwa2l4VE5saWlsdUVNMlA2aWRmbGRUX1FIWEpWbVVMLVpNaDVrZw?oc=5
Trump’s Brokerage Accounts Made Big Trades Around ‘Liberation Day’ Tariffs - WSJ,2026-07-02,Trump’s Brokerage Accounts Made Big Trades Around ‘Liberation Day’ Tariffs&nbsp;&nbsp;WSJ,https://news.google.com/rss/articles/CBMitgFBVV95cUxPdDctTnZ5cGZYcmNlb0JLVGtZMEFTQ0dORDVaaEdQTXlxNTR0WU9WMjRmWWZrX2dWRGFxN1p0bzBOQVpETzYwUGFpZktjT3plZ3NBNC1HeVJvOUFFNUJBR1hYTEQ0VkVNXzV2bnd2TW9KeWFGaG1PYjNoRk93dzBBVDRtM0pxbHAxbnFFVFl3bDhxWGxlWmtXNzc3bDFWdlJxbmJ0cERYN1lyOTlUTTQyUm9rbTJNQQ?oc=5
Trump administration seeks new path forward with tariffs after first attempt hit legal roadblocks - AP News,2026-06-03,Trump administration seeks new path forward with tariffs after first attempt hit legal roadblocks&nbsp;&nbsp;AP News,https://news.google.com/rss/articles/CBMilAFBVV95cUxNR3FZVThJWnRyOURYSHREeVZON2NOYWs1ZXNObEJQMzM3VkZUNi1TcmM3UDFtemF0Z0dBTFc1MnZXVkFncU1uOGRTeFQtY09DYjc1aXVBVTBHUlc5d0E5clpnSnFOR01qMlZDZFF0MzlPRjQwNFUxWmNKZmx3bUZFQ1duMTdfV2s4a3Bha2JROGljTDVC?oc=5
"Trump Targets Brazil With 25% Tariff, Citing Unfair Trade Practices - The New York Times",2026-06-02,"Trump Targets Brazil With 25% Tariff, Citing Unfair Trade Practices&nbsp;&nbsp;The New York Times",https://news.google.com/rss/articles/CBMieEFVX3lxTE9RMkthSDVDei1xTDRDa29PLVYxaThnNEYtaENxb1hyVXJKdjE5S3doamJWclF5bHBzUFRHWXhQc3NNNnJnNUJzVDM1Mkhnd3hDaUZIYklBcnlocmlnQUFfcmQ4MU1WNDNQaXF5R054WFZlNzhQN0xBQQ?oc=5
"Trump bought Apple, Nvidia and other tech giants before tariff reversal fueled rebound - CNBC",2026-07-02,"Trump bought Apple, Nvidia and other tech giants before tariff reversal fueled rebound&nbsp;&nbsp;CNBC",https://news.google.com/rss/articles/CBMifEFVX3lxTE5uU09BV2VxQk4wa2RVdFM0c1pfb2hsNlZoREp2a1h0OHFNQVRmVGk1aDFqZEl6ajhhY1p4WDRFeDVKSUkzN1NmSlVvOHFMZktfRDg0bEJITDFsT1dRNkxGclFRMFFmb1lIODh1TkFCU3ZaYXdHSVBzUmx4RkjSAYIBQVVfeXFMT1U5UVUxWUp0RXNqdGwxazBxbVRqU1JqNVY1MXUxTmtIa0J2dnlYc0NWNGhDMnlrbGlaRUpuV2wzNGJJOVIxNlVfeUZBZ3cxSzFXNl9od195bkFmNElDazlyYXdyd1NhbnlsMXhJRXRUTG5KQzFrLThoMGp3bG5vZEtHZw?oc=5
"More Trump tariffs? Amid trade deal talks, US names India in its Section 301 findings; proposes additiona - The Times of India",2026-06-03,"More Trump tariffs? Amid trade deal talks, US names India in its Section 301 findings; proposes additiona&nbsp;&nbsp;The Times of India",https://news.google.com/rss/articles/CBMiogJBVV95cUxQcUpsS2JvNWQzX1c0R0ZYRG9vTXNkeG1HMnljN19aT280b2lYNHhsWnBseTd6cFd6TjZVb09EVWNtQ0dpbzYwdlhPUlNTZkNjRXVIMHpZR2FaR0lPcjctVmFTcy1Ya0MtMmYzd0JRQzJlbjM3WVozUDRxeHp3VWFVMm5VdEJSM3hyekxaTlNPSWxnZ1NvcmhSNXpWNjJmbFZCaUg0M0s2Wlg2UjVybkI1cG1IUlRLSkJxSUQ5MzEyTnFSSHJZZlh1cnBNVVhGUGZtbHQ4QXNxX056X1FlaFdteFdGY1I0TFFVb2pYazM1MF9QczJIWkgyOFplclFjUG4xRUgtb2VHd0twYXZuZVRvbTVqa29zXy1JQTBnNzdPaXFnZ9IBpwJBVV95cUxPY1JsZDNUV2lpdEVxUmhCT2EtMmFGdGRqQTQwcURPSjY4NEw4Nk9HVEl6bkhJdGVWQVAwS0llMlZVcUZSNHhHVkFxUUV4QmcxT2laYU5LdVhEbk92VktVU3NsN29Cakt5OW9CZGlHWWRzR0xYUGo1aXJIbzNGaHRsVDRibVdaTkVnT2plYlFiNXBsUDhfblpzd21Rd3RWQzdiTHpRbkNlY0RTX01GRDNKQkl0WDBZdWNUTTNyd2g3a3ZUNXBOWWNkTnROT01CU3VhV1lFN0czb2h0dVR6SEIxQ2hJWlp6MFhnUnowNldGTXZ4T2JDNVcxQV84NzNESWFmVG9STG5OS0NrclJoNWc3bi1hQkliTWtlMnp0QkFJUml0cll1Xzgw?oc=5
"Trump administration floats tariffs on 60 trading partners — including China, U.K., EU — after forced labor probes - CBS News",2026-06-03,"Trump administration floats tariffs on 60 trading partners — including China, U.K., EU — after forced labor probes&nbsp;&nbsp;CBS News",https://news.google.com/rss/articles/CBMinwFBVV95cUxQd3NPakNfWGozTnR3Qk0zUWdHVE55ZG4xbnV5Wk1mckM3a0Etd1dvNmNDUWp1TElZeUN6ckpyWWhFc1E2TG1xcENZekItTHFDeWM0ZnNlVVcxcTFYQXFLN0tvYzJ6U0FTTFpQTVNMZXhrX2hoalVDX1JCYTdPaWVGMHZXVVJrc1hwclRRQml0RXd5ZGVUNFo1c21XbUIwR1E?oc=5
"What to know about Trump's sweeping new tariff proposal - ABC News - Breaking News, Latest News and Videos",2026-06-04,"What to know about Trump's sweeping new tariff proposal&nbsp;&nbsp;ABC News - Breaking News, Latest News and Videos",https://news.google.com/rss/articles/CBMiiwFBVV95cUxPbS1Ca2RMOFVVTUFHWXo2aXRQT2NPekxJM1pGN2FMODhCQzZsVUxlYjJtZFJxeGRYNmxtdWtDV2llN0Fpb3RDR2xqZkpwN1lGMzYxMXIzb0JqUXVYTlpQa05CbE9PLVFmZVVYWGZLV1BFSExDRTdRbXBqaEx4NnlGMndNSDBaWVBsLXpZ0gGQAUFVX3lxTE5HMVVxbjNGZEVnOGxXTm1SUUZ4dDk5YjVNTVA2bUdQTlMzVmZEa1dsUFBSVFVaQUlUcWpGSUpSZFhVcVMtSTFjNHhRRXlrOUFaUl9vZm5ndnBuVUpXWXdQT1NRU21LeFFMVWZnYk1mcFhRVkhJdE9kUG9VNV9ORFQzSlR3ZkdZdVhIalVDbkY3Qg?oc=5
