title,published,summary,link
Trump Warns Of Tariffs Up To 200% For Companies That Don't Build In The US — 'We're Doing Great On Steel Because We Charge Tariffs',"Wed, 08 Jul 2026 11:10:00 GMT","Addressing reporters following the NATO summit in Turkey, Trump said that he revived the steel industry during each of his terms.",http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=6a4eec75322f4f31a8ade05ef7b2cbcd&url=https%3a%2f%2ffinance.yahoo.com%2feconomy%2fpolicy%2farticles%2ftrump-warns-tariffs-200-companies-173814798.html&c=1475311800914801748&mkt=en-ca
Canada says there's no basis for Trump's forced labour tariffs,"Wed, 08 Jul 2026 04:09:00 GMT",WASHINGTON — The Canadian government told the Trump administration new legislation combating forced labour in supply chains should shield Canada from new tariffs.,http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=6a4eec75322f4f31a8ade05ef7b2cbcd&url=https%3a%2f%2fwww.msn.com%2fen-ca%2fmoney%2fgeneral%2fcanada-says-there-s-no-basis-for-trump-s-forced-labour-tariffs%2far-AA27sMJy&c=9701739633327737804&mkt=en-ca
Trump’s tariffs pay off as UK firms pour money into US,"Mon, 06 Jul 2026 02:12:00 GMT","British companies have ramped up spending on new factories in the US, vindicating Donald Trump’s use of tariffs. UK manufacturers’ investment in the US jumped 23pc last year a ...",http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=6a4eec75322f4f31a8ade05ef7b2cbcd&url=https%3a%2f%2fwww.telegraph.co.uk%2fbusiness%2f2026%2f07%2f06%2ftrumps-tariffs-pay-off-as-uk-firms-pour-money-into-us%2f&c=16030070508655650578&mkt=en-ca
US coffee industry asks Trump to keep tariff exemption on Brazil beans,"Wed, 08 Jul 2026 15:08:07 GMT","By Marcelo Teixeira NEW YORK, July 8 (Reuters) - The U.S. coffee industry asked the Trump administration on Wednesday to keep Brazilian green coffee exempt from tariffs, during a session of public ...",http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=6a4eec75322f4f31a8ade05ef7b2cbcd&url=https%3a%2f%2fwww.msn.com%2fen-ca%2fmoney%2fgeneral%2fus-coffee-industry-asks-trump-to-keep-tariff-exemption-on-brazil-beans%2far-AA27v0gS&c=13781681275473507831&mkt=en-ca
Canada says there’s no basis for Trump’s forced labor tariffs,"Wed, 08 Jul 2026 07:51:00 GMT",The Canadian government told the Trump administration that new legislation combating forced labor in supply chains should shield Canada from new tariffs.,http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=6a4eec75322f4f31a8ade05ef7b2cbcd&url=https%3a%2f%2fwww.trucknews.com%2ftransportation%2fcanada-says-theres-no-basis-for-trumps-forced-labor-tariffs%2f1003218071%2f&c=750659608477583332&mkt=en-ca
Trump takes credit for Toyota moving some truck production from Mexico to Texas: 'That's what tariffs do',"Tue, 07 Jul 2026 08:56:00 GMT",Toyota is shifting some its Tacoma production to the US over the next four years with a $3.6 billion investment. Trump said it's because of tariffs.,http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=6a4eec75322f4f31a8ade05ef7b2cbcd&url=https%3a%2f%2fwww.msn.com%2fen-us%2fmoney%2fcompanies%2ftrump-takes-credit-for-toyota-moving-some-truck-production-from-mexico-to-texas-thats-what-tariffs-do%2far-AA27phLd&c=10005122809298763467&mkt=en-ca
Trump Brags About Price-Raising Tariffs Ahead of Midterm Elections,"Mon, 06 Jul 2026 14:11:00 GMT","President Donald Trump released what he claims is a list of 75 ""Trump Administration Accomplishments"" on Truth Social. One of the items that stands out is his boasting of his unpopular, price-raising ...",http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=6a4eec75322f4f31a8ade05ef7b2cbcd&url=https%3a%2f%2fwww.aol.com%2farticles%2ftrump-brags-price-raising-tariffs-141115000.html&c=3171998091696395600&mkt=en-ca
"Forced-labor hearing begins, paving way for more Trump tariffs","Tue, 07 Jul 2026 00:00:00 GMT",A three-day hearing on the US Trade Representative’s latest plan to impose tariffs on major trading partners kicks off in Washington on Tuesday.,http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=6a4eec75322f4f31a8ade05ef7b2cbcd&url=https%3a%2f%2fwww.msn.com%2fen-us%2fmoney%2fmarkets%2fforced-labor-hearing-begins-paving-way-for-more-trump-tariffs%2far-AA27nIbm&c=758362483430750331&mkt=en-ca
Flavio Bolsonaro asks Trump to delay tariffs on Brazil until after election,"Mon, 06 Jul 2026 11:14:00 GMT","President Lula accuses Jair Bolsonaro’s son, now a presidential hopeful, of helping trigger proposed US tariffs.",http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=6a4eec75322f4f31a8ade05ef7b2cbcd&url=https%3a%2f%2fwww.msn.com%2fen-us%2fnews%2fworld%2fflavio-bolsonaro-asks-trump-to-delay-tariffs-on-brazil-until-after-election%2far-AA27l9H2&c=15680719406930920324&mkt=en-ca
Trump cashed in on 327 stock buys right before he sent market soaring,"Sun, 05 Jul 2026 04:37:00 GMT","Trump cashed in with 327 stock purchases just before he sent the market soaring by pausing tariffs: disclosure - The purchases were made on April 8, 2025, six days after Trump initiated a global trade ...",http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=6a4eec75322f4f31a8ade05ef7b2cbcd&url=https%3a%2f%2fwww.msn.com%2fen-ie%2fnews%2fworld%2ftrump-made-327-stock-buys-before-he-sent-market-soaring%2far-AA27aieG&c=67352731202725874&mkt=en-ca
